id,residence_name,council_id
7,"Tindigani, Kimandolu, Suye, Arusha CC",4
8,"Kijenge Kaskazini, Kimandolu, Suye, Arusha CC",4
9,"Kijenge Kusini, Kimandolu, Suye, Arusha CC",4
10,"Sorenyi, Kimandolu, Suye, Arusha CC",4
12,"Kambi ya Chupa, Baraa, Suye, Arusha CC",4
13,"Kwa Mrefu, Baraa, Suye, Arusha CC",4
14,"Mferejini, Baraa, Suye, Arusha CC",4
15,"Kiroshi, Baraa, Suye, Arusha CC",4
16,"Siara, Baraa, Suye, Arusha CC",4
17,"Ofisini, Baraa, Suye, Arusha CC",4
18,"Elkirouwa, Baraa, Suye, Arusha CC",4
19,"Suye, Baraa, Suye, Arusha CC",4
21,"Meiroti, Oloirien, Suye, Arusha CC",4
22,"Mwanama, Oloirien, Suye, Arusha CC",4
23,"Mbeshere, Oloirien, Suye, Arusha CC",4
24,"Moivoi, Oloirien, Suye, Arusha CC",4
25,"R.C, Oloirien, Suye, Arusha CC",4
26,"Nanja, Oloirien, Suye, Arusha CC",4
28,"Moshono kati, Moshono, Suye, Arusha CC",4
29,"Engosowash, Moshono, Suye, Arusha CC",4
30,"T.Packers, Moshono, Suye, Arusha CC",4
31,"Olkereyan kati, Moshono, Suye, Arusha CC",4
32,"Laizer, Moshono, Suye, Arusha CC",4
33,"LosirwayLaizer, Moshono, Suye, Arusha CC",4
34,"Mtoni, Moshono, Suye, Arusha CC",4
35,"Kalimaji, Moshono, Suye, Arusha CC",4
36,"Moivaro kati, Moshono, Suye, Arusha CC",4
38,"Moshono kaskazini, Moivaro, Suye, Arusha CC",4
39,"Ngurumaus, Moivaro, Suye, Arusha CC",4
40,"Sekei, Moivaro, Suye, Arusha CC",4
41,"Shangarao, Moivaro, Suye, Arusha CC",4
42,"Endonyoemasi, Moivaro, Suye, Arusha CC",4
43,"Ilkirouwa, Moivaro, Suye, Arusha CC",4
45,"Olepholos, Lemara, Suye, Arusha CC",4
46,"Korongoni, Lemara, Suye, Arusha CC",4
47,"Kikwakwaru 'A', Lemara, Suye, Arusha CC",4
48,"Kikwakwaru 'B', Lemara, Suye, Arusha CC",4
49,"Lemara Kati, Lemara, Suye, Arusha CC",4
50,"Sunflag, Lemara, Suye, Arusha CC",4
51,"Block C1, Lemara, Suye, Arusha CC",4
53,"Block C 2, Engutoto, Suye, Arusha CC",4
54,"Block D, Engutoto, Suye, Arusha CC",4
55,"Block F, Engutoto, Suye, Arusha CC",4
56,"Block H, Engutoto, Suye, Arusha CC",4
57,"Block J, Engutoto, Suye, Arusha CC",4
58,"Lolovono, Engutoto, Suye, Arusha CC",4
60,"Longdong, Sokon I, Suye, Arusha CC",4
61,"Murriet, Sokon I, Suye, Arusha CC",4
62,"Kanisani, Sokon I, Suye, Arusha CC",4
63,"Sainevuno, Sokon I, Suye, Arusha CC",4
64,"Madukani, Sokon I, Suye, Arusha CC",4
65,"Makao Mapya, Sokon I, Suye, Arusha CC",4
67,"Olevolos, Sinoni, Suye, Arusha CC",4
68,"Olomokeya, Sinoni, Suye, Arusha CC",4
69,"Oljanvutian, Sinoni, Suye, Arusha CC",4
70,"Mlimani, Sinoni, Suye, Arusha CC",4
71,"Migungani, Sinoni, Suye, Arusha CC",4
72,"Engosengiu, Sinoni, Suye, Arusha CC",4
73,"laitayok, Sinoni, Suye, Arusha CC",4
75,"Imitong'wa, Terrat, Suye, Arusha CC",4
76,"Maskiria, Terrat, Suye, Arusha CC",4
77,"Bondeni Kati, Terrat, Suye, Arusha CC",4
78,"Olepolosi, Terrat, Suye, Arusha CC",4
79,"Erangau, Terrat, Suye, Arusha CC",4
80,"Olkungu, Terrat, Suye, Arusha CC",4
81,"Engavunet, Terrat, Suye, Arusha CC",4
82,"Bondeni, Terrat, Suye, Arusha CC",4
84,"Kati, Muriet, Suye, Arusha CC",4
85,"Mashariki, Muriet, Suye, Arusha CC",4
86,"Murieti, Muriet, Suye, Arusha CC",4
87,"Mlimani, Muriet, Suye, Arusha CC",4
88,"Msasani, Muriet, Suye, Arusha CC",4
89,"FFU, Muriet, Suye, Arusha CC",4
90,"Eluanyi, Muriet, Suye, Arusha CC",4
91,"Nadosoito kusini, Muriet, Suye, Arusha CC",4
92,"Ngorienito, Muriet, Suye, Arusha CC",4
93,"Oldonyokumur, Muriet, Suye, Arusha CC",4
94,"Embararwai, Muriet, Suye, Arusha CC",4
95,"Kati, Muriet, Suye, Arusha CC",4
96,"Simanjiro, Muriet, Suye, Arusha CC",4
98,"Banda Mbili, Sombetini, Suye, Arusha CC",4
99,"Kirika 'A', Sombetini, Suye, Arusha CC",4
100,"Olamurraki, Sombetini, Suye, Arusha CC",4
101,"Osunyai, Sombetini, Suye, Arusha CC",4
103,"Ngusero, Osunyai Jr, Suye, Arusha CC",4
104,"Kirika 'B', Osunyai Jr, Suye, Arusha CC",4
105,"Kware, Osunyai Jr, Suye, Arusha CC",4
108,"Burka, Elerai, Elerai, Arusha CC",4
109,"Azimio, Elerai, Elerai, Arusha CC",4
110,"Shamsi, Elerai, Elerai, Arusha CC",4
111,"Samanga, Elerai, Elerai, Arusha CC",4
112,"Sacon, Elerai, Elerai, Arusha CC",4
113,"Remtula, Elerai, Elerai, Arusha CC",4
114,"Mama Musa, Elerai, Elerai, Arusha CC",4
115,"Ngurumo, Elerai, Elerai, Arusha CC",4
116,"Urundini, Elerai, Elerai, Arusha CC",4
117,"Shuma, Elerai, Elerai, Arusha CC",4
118,"Majengo 'A', Elerai, Elerai, Arusha CC",4
119,"Majengo 'B', Elerai, Elerai, Arusha CC",4
120,"Olmatejoo 'A', Elerai, Elerai, Arusha CC",4
122,"Navarana, Sakina, Elerai, Arusha CC",4
123,"Giriki, Sakina, Elerai, Arusha CC",4
124,"Olmatejo 'B', Sakina, Elerai, Arusha CC",4
125,"Mairiva, Sakina, Elerai, Arusha CC",4
126,"Sakina, Sakina, Elerai, Arusha CC",4
127,"Melamari, Sakina, Elerai, Arusha CC",4
128,"Kimindorosi, Sakina, Elerai, Arusha CC",4
130,"Olasiti Centre, Olasiti, Elerai, Arusha CC",4
131,"Oloresho, Olasiti, Elerai, Arusha CC",4
132,"Olkereyan, Olasiti, Elerai, Arusha CC",4
133,"Burka, Olasiti, Elerai, Arusha CC",4
134,"Olteves, Olasiti, Elerai, Arusha CC",4
135,"Olmoti, Olasiti, Elerai, Arusha CC",4
137,"Ngaramtoni ya chini, Olmoti, Elerai, Arusha CC",4
138,"Mlimani, Olmoti, Elerai, Arusha CC",4
139,"Mirongoine, Olmoti, Elerai, Arusha CC",4
140,"NAFCO, Olmoti, Elerai, Arusha CC",4
141,"Bondeni, Olmoti, Elerai, Arusha CC",4
143,"Pangani, Kati, Elerai, Arusha CC",4
144,"Jamhuri, Kati, Elerai, Arusha CC",4
146,".Ali Nyanya, Daraja Ii, Elerai, Arusha CC",4
147,"Sanare, Daraja Ii, Elerai, Arusha CC",4
148,"Ndarvoi, Daraja Ii, Elerai, Arusha CC",4
149,"Darajani, Daraja Ii, Elerai, Arusha CC",4
150,"KatI, Daraja Ii, Elerai, Arusha CC",4
151,"Themi Mashariki, Daraja Ii, Elerai, Arusha CC",4
154,"Kambarage, Themi, Themi, Arusha CC",4
155,"Old Police, Themi, Themi, Arusha CC",4
156,"Corridor Area, Themi, Themi, Arusha CC",4
157,"AICC Flats, Themi, Themi, Arusha CC",4
158,"Kambi ya fisi, Themi, Themi, Arusha CC",4
160,"Darajani, Ngarenaro, Themi, Arusha CC",4
161,"NHC, Ngarenaro, Themi, Arusha CC",4
162,"TCA, Ngarenaro, Themi, Arusha CC",4
163,"Mita 200, Ngarenaro, Themi, Arusha CC",4
164,"Mtaa wa Levolosi, Ngarenaro, Themi, Arusha CC",4
166,"Majengo, Levolosi, Themi, Arusha CC",4
167,"Kaloleni Magharibi, Levolosi, Themi, Arusha CC",4
169,"Mita 200, Kaloleni, Themi, Arusha CC",4
170,"Kaloleni Mashariki, Kaloleni, Themi, Arusha CC",4
171,"Esso, Kaloleni, Themi, Arusha CC",4
173,"Viwandani, Unga Ltd, Themi, Arusha CC",4
174,"Makaburi ya Baniani, Unga Ltd, Themi, Arusha CC",4
175,"Tindiga, Unga Ltd, Themi, Arusha CC",4
176,"Darajani, Unga Ltd, Themi, Arusha CC",4
177,"Osterbay, Unga Ltd, Themi, Arusha CC",4
178,"Sanawari, Unga Ltd, Themi, Arusha CC",4
180,"Naurei, Sekei, Themi, Arusha CC",4
181,"Mtaa wa AICC, Sekei, Themi, Arusha CC",4
